Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$40-$49,12.7883,123,11.208,14.6135
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$30-$39,12.7753,124,10.893,14.5849
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,12.73,125,10.7459,14.9063
Pale color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$50-$59,12.7186,126,10.8338,14.5331
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$50-$59,12.7063,127,11.2353,14.1869
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,12.685,128,11.3499,14.2047
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$50-$59,12.6527,129,11.0122,14.4709
Very dark color,Very intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$30-$39,12.6461,130,11.0881,14.1611
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,12.6314,131,11.2164,14.3179
Pale color,Intense aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,12.5694,132,10.9154,14.1116
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$50-$59,12.5607,133,11.057,13.951
Very dark color,Low intensity aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$30-$39,12.5607,134,11.237,14.0335
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$40-$49,12.5594,135,10.6595,14.7797
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,High foam,$40-$49,12.5562,136,10.6864,14.682
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$40-$49,12.5395,137,11.1242,13.8986
Very dark color,Very intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$30-$39,12.5006,138,10.6214,14.2345
Very dark color,Low intensity aromas,Medium alcohol content,Very intense bitterness,No or very low foam,$30-$39,12.4888,139,11.1499,13.774
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$60-$69,12.4702,140,10.8364,14.1088
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$50-$59,12.4433,141,10.8555,14.2171
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,High foam,$30-$39,12.4141,142,10.6545,14.0346
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,High foam,$30-$39,12.3605,143,10.5092,14.1937
Pale color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$50-$59,12.3483,144,10.7058,14.0607
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$60-$69,12.3247,145,10.9458,13.7252
Pale color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$50-$59,12.3071,146,10.7553,13.8408
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,High foam,$30-$39,12.2685,147,10.561,13.7914
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,Low foam,$40-$49,12.1288,148,10.6283,13.5498
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Low foam,$50-$59,12.0659,149,10.771,13.5294
Very dark color,Medium intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$30-$39,12.0637,150,10.3764,13.7743
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$60-$69,12.0392,151,10.7822,13.5611
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$40-$49,12.0124,152,10.8666,13.267
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,Low foam,$30-$39,12.0057,153,10.4757,13.6606
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,11.9952,154,10.4759,13.5772
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,No or very low foam,$40-$49,11.9804,155,10.5464,13.367
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,11.9796,156,10.5909,13.4962
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$60-$69,11.9793,157,10.4579,13.5605
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,No or very low foam,$60-$69,11.9472,158,10.8893,13.0385
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$40-$49,11.9406,159,10.5731,13.1985
Pale color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$50-$59,11.9368,160,10.5335,13.5162
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$60-$69,11.9075,161,10.6276,13.0969
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,11.9032,162,10.4312,13.3135
Brown color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,11.8869,163,10.1663,13.81
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$40-$49,11.8496,164,10.2643,13.2706
Very dark color,Medium intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$30-$39,11.8382,165,10.1572,13.3773
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,Low foam,$60-$69,11.8298,166,10.2474,13.5999
Pale color,Low intensity aromas,Medium alcohol content,Intense bitterness,Medium foam,$30-$39,11.7853,167,10.1121,13.3708
Pale color,Medium intensity aromas,Medium alcohol content,Medium bitterness,High foam,$30-$39,11.7555,168,10.3386,13.2899
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$70 or more,11.7432,169,10.0374,13.7218
Very dark color,Very intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$40-$49,11.7205,170,10.264,13.2079
Brown color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,11.7163,171,10.1068,13.5952
Very dark color,Low intensity aromas,Medium alcohol content,Intense bitterness,No or very low foam,$30-$39,11.6863,172,10.048,13.254
Very dark color,Low intensity aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$40-$49,11.635,173,10.265,13.1895
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$50-$59,11.6342,174,10.1681,13.1351
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,11.6047,175,9.6604,13.6937
Very dark color,Very intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$40-$49,11.5749,176,10.0371,13.0929
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$30-$39,11.5741,177,10.0427,13.1609
Very dark color,Low intensity aromas,Medium alcohol content,Very intense bitterness,No or very low foam,$40-$49,11.5632,178,10.3489,12.6854
Very dark color,Low intensity aromas,Intense alcohol content,No or very low bitterness,No or very low foam,$30-$39,11.4928,179,10.1206,12.7608
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,High foam,$40-$49,11.4884,180,9.8674,13.0954
Very dark color,Intense aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$30-$39,11.4392,181,9.9037,13.0533
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,High foam,$40-$49,11.4348,182,9.9519,13.2477
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$40-$49,11.4342,183,9.7022,13.3847
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Low foam,$60-$69,11.4243,184,9.8677,13.1192
Very dark color,Low intensity aromas,Intense alcohol content,Very intense bitterness,No or very low foam,$30-$39,11.421,185,9.8649,12.8155
Very dark color,Intense aromas,Medium alcohol content,Medium bitterness,No or very low foam,$30-$39,11.4071,186,9.8474,12.9336
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$60-$69,11.3982,187,9.9239,13.0504
Pale color,Medium intensity aromas,Medium alcohol content,Low bitterness,High foam,$30-$39,11.3852,188,9.8726,13.012
Pale color,Low intensity aromas,Intense alcohol content,Intense bitterness,Medium foam,$30-$39,11.3738,189,9.9487,12.8862
Very dark color,Intense aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$30-$39,11.3674,190,9.3849,13.4056
Pale color,Medium intensity aromas,Intense alcohol content,Medium bitterness,High foam,$30-$39,11.344,191,9.9964,12.6165
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,High foam,$40-$49,11.3428,192,10.1004,12.571
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$30-$39,11.2298,193,9.7201,12.7598
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$30-$39,11.1978,194,9.7239,12.6322
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$30-$39,11.158,195,9.3385,12.9739
Very dark color,Medium intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$40-$49,11.138,196,9.7596,12.5189
Pale color,Low intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$40-$49,11.1365,197,9.4881,12.702
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$60-$69,11.1049,198,9.889,12.3794
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,Low foam,$40-$49,11.08,199,9.532,12.8624
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$50-$59,11.0751,200,9.6361,12.6577
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,11.0539,201,9.6236,12.7926
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$60-$69,11.0207,202,9.6398,12.7224
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Low foam,$50-$59,10.998,203,9.3508,12.6251
Pale color,Medium intensity aromas,Intense alcohol content,Low bitterness,High foam,$30-$39,10.9737,204,9.4045,12.4487
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$60-$69,10.9713,205,9.4403,12.6152
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Low foam,$50-$59,10.9444,206,9.223,12.8739
Very dark color,Very intense aromas,Intense alcohol content,Low bitterness,Low foam,$30-$39,10.9378,207,9.1813,12.5801
Very dark color,Medium intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$40-$49,10.9125,208,9.4403,12.3011
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,10.9117,209,9.4299,12.3938
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$40-$49,10.9087,210,9.194,12.7866
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$60-$69,10.8794,211,9.5288,12.1857
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$50-$59,10.8524,212,9.2403,12.4803
Very dark color,Low intensity aromas,Medium alcohol content,No or very low bitterness,Low foam,$30-$39,10.8524,213,9.6447,12.158
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$60-$69,10.8258,214,9.3545,12.1745
Very dark color,Very intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$30-$39,10.7923,215,8.7855,12.5438
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,High foam,$30-$39,10.7829,216,9.1657,12.7351
Very dark color,Low intensity aromas,Medium alcohol content,Very intense bitterness,Low foam,$30-$39,10.7806,217,9.4612,11.9815
Pale color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,10.7663,218,9.2695,12.1642
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$30-$39,10.7661,219,8.7949,12.4338
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,Low foam,$60-$69,10.762,220,8.9858,12.6747
Brown color,Medium intensity aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,10.7617,221,9.0688,12.6266
Very dark color,Low intensity aromas,Medium alcohol content,Intense bitterness,No or very low foam,$40-$49,10.7606,222,9.3106,12.2237
Pale color,Low intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,10.725,223,9.2357,12.0426
